t1;t2;t3;Tavg;h1;h2;h3;Havg;Status
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;23;23.00;18;18;18;18.00;Heating
23;23;24;23.33;18;18;17;17.67;Heating
23;23;24;23.33;18;18;17;17.67;Heating
23;23;24;23.33;18;18;17;17.67;Heating
24;24;24;24.00;18;18;17;17.67;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;24;24;24.00;17;17;17;17.00;Heating
24;25;24;24.33;17;17;17;17.00;Heating
24;25;24;24.33;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;25;25.00;17;17;17;17.00;Heating
25;25;26;25.33;17;17;17;17.00;Heating
25;25;26;25.33;17;17;17;17.00;Heating
25;26;26;25.67;17;17;17;17.00;Heating
26;26;26;26.00;17;17;17;17.00;Heating
26;26;27;26.33;17;17;17;17.00;Heating
26;26;27;26.33;17;17;17;17.00;Heating
26;26;27;26.33;17;17;17;17.00;Heating
26;27;28;27.00;17;17;16;16.67;Heating
27;27;28;27.33;17;17;16;16.67;Heating
27;27;28;27.33;17;17;16;16.67;Heating
27;27;28;27.33;17;17;16;16.67;Heating
27;27;29;27.67;17;17;16;16.67;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;30;28.67;16;16;15;15.67;Heating
28;28;30;28.67;16;16;15;15.67;Heating
28;28;30;28.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
30;29;32;30.33;15;16;15;15.33;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;33;31.00;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;34;32.00;15;15;14;14.67;Heating
32;31;34;32.33;15;15;14;14.67;Heating
32;32;34;32.67;15;15;14;14.67;Heating
32;32;34;32.67;15;15;14;14.67;Heating
32;32;35;33.00;15;15;13;14.33;Heating
33;32;35;33.33;14;15;13;14.00;Heating
33;33;35;33.67;14;14;13;13.67;Heating
33;33;35;33.67;14;14;13;13.67;Heating
33;33;35;33.67;14;14;13;13.67;Heating
33;33;36;34.00;14;14;13;13.67;Heating
34;33;36;34.33;14;14;13;13.67;Heating
34;34;36;34.67;14;14;13;13.67;Heating
34;34;36;34.67;14;14;13;13.67;Heating
35;35;36;35.33;13;13;13;13.00;Heating
35;35;36;35.33;13;13;13;13.00;Heating
35;35;36;35.33;13;13;13;13.00;Heating
35;35;37;35.67;13;13;13;13.00;Heating
35;35;37;35.67;13;13;13;13.00;Heating
35;35;37;35.67;13;13;13;13.00;Heating
36;36;38;36.67;13;13;12;12.67;Heating
36;36;38;36.67;13;13;12;12.67;Heating
36;36;38;36.67;13;13;12;12.67;Heating
36;36;38;36.67;13;13;12;12.67;Heating
36;36;38;36.67;13;13;12;12.67;Heating
37;36;39;37.33;13;13;12;12.67;Heating
37;37;39;37.67;13;13;12;12.67;Heating
37;37;39;37.67;13;13;12;12.67;Heating
38;37;39;38.00;12;13;12;12.33;Heating
38;38;39;38.33;12;12;12;12.00;Heating
38;38;40;38.67;12;12;11;11.67;Heating
38;38;40;38.67;12;12;11;11.67;Heating
38;38;40;38.67;12;12;11;11.67;Heating
38;38;40;38.67;12;12;11;11.67;Heating
39;38;40;39.00;12;12;11;11.67;Heating
39;39;40;39.33;12;12;11;11.67;Heating
39;39;41;39.67;12;12;11;11.67;Heating
39;39;41;39.67;12;12;11;11.67;Heating
39;39;41;39.67;12;12;11;11.67;Heating
40;39;41;40.00;11;12;11;11.33;Heating
40;39;41;40.00;11;12;11;11.33;Heating
40;40;42;40.67;11;11;11;11.00;Heating
40;40;42;40.67;11;11;11;11.00;Heating
40;40;42;40.67;11;11;11;11.00;Heating
40;40;42;40.67;11;11;11;11.00;Heating
40;40;42;40.67;11;11;11;11.00;Heating
41;40;42;41.00;11;11;11;11.00;Heating
41;40;42;41.00;11;11;11;11.00;Heating
41;41;42;41.33;11;11;11;11.00;Heating
41;41;43;41.67;11;11;10;10.67;Heating
41;41;43;41.67;11;11;10;10.67;Heating
41;41;43;41.67;11;11;10;10.67;Heating
41;41;43;41.67;11;11;10;10.67;Heating
42;41;43;42.00;11;11;10;10.67;Heating
42;41;43;42.00;11;11;10;10.67;Heating
42;41;43;42.00;11;11;10;10.67;Heating
42;41;43;42.00;11;11;10;10.67;Heating
42;42;43;42.33;11;11;10;10.67;Heating
42;42;43;42.33;11;11;10;10.67;Heating
42;42;43;42.33;11;11;10;10.67;Heating
42;42;43;42.33;11;11;10;10.67;Heating
43;42;43;42.67;10;11;10;10.33;Heating
43;42;44;43.00;10;11;10;10.33;Heating
43;42;44;43.00;10;11;10;10.33;Heating
43;42;44;43.00;10;11;10;10.33;Heating
43;42;44;43.00;10;11;10;10.33;Heating
