t1;t2;t3;Tavg;h1;h2;h3;Havg;Status
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;24;24.00;17;19;17;17.67;Heating
24;24;24;24.00;17;19;18;18.00;Heating
24;24;25;24.33;17;19;17;17.67;Heating
24;24;25;24.33;17;19;17;17.67;Heating
24;25;25;24.67;17;19;17;17.67;Heating
25;25;25;25.00;17;19;17;17.67;Heating
25;25;26;25.33;17;19;17;17.67;Heating
25;25;26;25.33;17;19;17;17.67;Heating
25;25;26;25.33;17;19;17;17.67;Heating
25;25;27;25.67;17;19;17;17.67;Heating
26;26;27;26.33;17;19;17;17.67;Heating
26;26;27;26.33;17;19;17;17.67;Heating
26;26;27;26.33;17;19;17;17.67;Heating
26;26;28;26.67;17;19;16;17.33;Heating
26;26;28;26.67;17;18;16;17.00;Heating
27;27;28;27.33;17;18;16;17.00;Heating
27;27;28;27.33;17;18;16;17.00;Heating
27;27;29;27.67;17;18;16;17.00;Heating
27;27;29;27.67;17;17;16;16.67;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;29;28.33;16;16;16;16.00;Heating
28;28;30;28.67;16;16;15;15.67;Heating
28;28;30;28.67;16;16;15;15.67;Heating
28;28;30;28.67;16;16;15;15.67;Heating
28;28;30;28.67;16;16;15;15.67;Heating
29;28;31;29.33;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;31;29.67;16;16;15;15.67;Heating
29;29;32;30.00;16;16;15;15.67;Heating
30;29;32;30.33;15;16;15;15.33;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;32;30.67;15;15;15;15.00;Heating
30;30;33;31.00;15;15;14;14.67;Heating
31;30;33;31.33;15;15;14;14.67;Heating
31;30;33;31.33;15;15;14;14.67;Heating
31;31;33;31.67;15;15;14;14.67;Heating
31;31;34;32.00;15;15;14;14.67;Heating
31;31;34;32.00;15;15;14;14.67;Heating
32;31;34;32.33;15;15;14;14.67;Heating
32;32;34;32.67;15;15;14;14.67;Heating
32;32;34;32.67;15;15;14;14.67;Heating
32;32;35;33.00;15;15;13;14.33;Heating
33;32;35;33.33;14;15;13;14.00;Heating
33;32;35;33.33;14;15;13;14.00;Heating
33;33;35;33.67;14;14;13;13.67;Heating
33;33;35;33.67;14;14;13;13.67;Heating
33;33;36;34.00;14;14;13;13.67;Heating
34;33;36;34.33;14;14;13;13.67;Heating
34;33;36;34.33;14;14;13;13.67;Heating
34;34;36;34.67;14;14;13;13.67;Heating
34;34;36;34.67;14;14;13;13.67;Heating
34;34;37;35.00;14;14;13;13.67;Heating
35;34;37;35.33;13;14;13;13.33;Heating
35;34;37;35.33;13;14;13;13.33;Heating
35;35;38;36.00;13;13;12;12.67;Heating
35;35;38;36.00;13;13;12;12.67;Heating
35;35;38;36.00;13;13;12;12.67;Heating
36;35;38;36.33;13;13;12;12.67;Heating
36;35;38;36.33;13;13;12;12.67;Heating
36;35;38;36.33;13;13;12;12.67;Heating
36;36;39;37.00;13;13;12;12.67;Heating
36;36;39;37.00;13;13;12;12.67;Heating
37;36;39;37.33;13;13;12;12.67;Heating
37;36;39;37.33;13;13;12;12.67;Heating
37;36;39;37.33;13;13;12;12.67;Heating
38;36;39;37.67;12;13;12;12.33;Heating
38;37;40;38.33;12;13;11;12.00;Heating
